section,order,title,year,dimensions,medium,status,price_dollars,raw_caption,image_url,src_width,src_height,orig_filename,used_original,image_id
abstracts,0,Emergence,2023,"36""x36""",Acrylic on canvas,available,5000,"Emergence (2023) 36""x36"" Acrylic on canvas. $5000",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/Geyser%20Pool%20reduced_1703117672.JPG,850,848,Geyser Pool reduced.JPG,False,ecb40bb0-9f95-11ee-8000-537e5f2cd1ba
abstracts,1,Coastal Inundation,2024,"30""x40""",Acrylic on canvas,sold,,Coastal Inundation (2024) 30”x40” Acrylic on canvas. SOLD,https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/PXL_20240706_184045834~3_1721821547.jpg,1802,2421,PXL_20240706_184045834~3.jpg,False,49f760d0-49b2-11ef-8ea7-9dd91c480149
abstracts,2,Arctic Anxiety,2024,"24""x24""",Acrylic on canvas,available,750,Arctic Anxiety (2024) 24”x24” Acrylic on canvas. $750,https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/PXL_20240706_183536048~2_1721821547.jpg,1933,1934,PXL_20240706_183536048~2.jpg,False,75cadc50-49b2-11ef-8ea7-9dd91c480149
abstracts,3,Gilded Coast 1,2024,"36""x36""",Acrylic on canvas,available,3000,Gilded Coast 1 (2024) 36”x36” Acrylic on canvas. $3000,https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/PXL_20240706_183750039~2_1721821547.jpg,1865,1835,PXL_20240706_183750039~2.jpg,False,75cb0360-49b2-11ef-8ea7-9dd91c480149
abstracts,4,Gilded Coast 2,2024,"20""x20""",Acrylic on canvas,available,600,Gilded Coast 2 (2024) 20”x20”  Acrylic on canvas. $600,https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/PXL_20240706_183626861~3_1721821547.jpg,1929,1931,PXL_20240706_183626861~3.jpg,False,75cadc51-49b2-11ef-8ea7-9dd91c480149
abstracts,5,Vortex,2023,"36""x36""",Acrylic on canvas,sold,,"Vortex (2023). 36""x36"" Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/vortex_1683381898.jpg,2013,2013,vortex.jpg,False,dc0b3b81-ec17-11ed-b21e-872c2328bf93
abstracts,6,Delta,2023,"40""x16""",Acrylic on canvas,sold,,"Delta (2023) 40""x16"" Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/water%20splatter1_1683381900.jpg,3500,1371,water splatter1.jpg,False,e65d5540-ec18-11ed-b21e-872c2328bf93
abstracts,7,Gorge,2023,"40""x16""",Acrylic on canvas,sold,,"Gorge (2023) 40""x16"" Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/water%20river%201_1683381899.jpg,3500,1358,water river 1.jpg,False,e65d5541-ec18-11ed-b21e-872c2328bf93
abstracts,8,Fleeting Impressions,2023,"24""x18""",Acrylic on canvas,sold,,"Fleeting Impressions (2023). 24""x18"" Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/shimmering%20lake_1683381901.jpg,3500,2628,shimmering lake.jpg,False,08470b30-ec17-11ed-b21e-872c2328bf93
abstracts,9,Untitled 24,2023,"10""x10""",Acrylic on canvas,sold,,"Untitled 24 (2023) 10""x10"" Acrylic on canvas. SOLD.",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/map%201_1683381897.jpg,2714,2713,map 1.jpg,False,e65d7c50-ec18-11ed-b21e-872c2328bf93
abstracts,10,Building a Life Together,2021,"30""x40""",Acrylic on canvas,sold,,"Building a Life Together (2021). 30""x40"", Acrylic on canvas. SOLD",https://www.jamiekendrioski.com/uploads/b/6875f8966e2e6a6d93c7e7aa6d7e39b1bed95d22a4500fcabc6ef11b8b89391f/PXL_20210518_144022961%20%281%29_1628207836.jpg,4032,3024,PXL_20210518_144022961 (1).jpg,True,bfdb5500-f649-11eb-bf6e-33b327d29080
